row,altitude,moisture,pressure,wind_speed,sky_condition,time_of_day,air_quality_index
4488,30K feet,dry,high,gusty,clear,13,7.292718949331729
4489,30K feet,dry,steady,steady,clear,16,1.1633406651106535
4490,30K feet,mist,low,high,limited,11,29.04509619217339
4491,sea level,mist,low,steady,limited,17,329.80591424504485
4492,30K feet,dry,high,steady,poor,11,16.931419447623426
4493,30K feet,fog,low,high,limited,6,61.11338343029429
4494,18K feet,dry,low,high,clear,11,37.896731388290114
4495,Missoula,dry,low,gusty,poor,16,194.625047432819
4496,Lolo Peak,mist,low,steady,clear,21,110.73524403686791
4497,30K feet,fog,steady,gusty,poor,24,64.66159559808082
4498,30K feet,dry,steady,high,clear,12,1.6140240971396729
4499,Missoula,mist,low,steady,poor,8,213.44826302936815
4500,18K feet,dry,high,steady,clear,8,30.857973850423882
4501,sea level,fog,steady,steady,poor,11,365.8067468843499
4502,Missoula,fog,steady,steady,clear,14,240.21226045965358
4503,Lolo Peak,rain,high,high,poor,5,110.38534475855337
4504,sea level,dry,low,steady,poor,10,318.1922773435918
4505,Missoula,fog,low,high,limited,8,236.13542347266656
4506,Lolo Peak,fog,high,gusty,clear,17,140.79359167228492
4507,18K feet,fog,steady,gusty,clear,13,82.14695072863404
4508,18K feet,rain,steady,high,clear,18,42.95276677124617
4509,30K feet,rain,low,high,limited,17,10.87790542097438
4510,Lolo Peak,fog,steady,high,limited,18,149.87760160491732
4511,30K feet,mist,high,steady,poor,20,31.143953332852735
4512,sea level,rain,low,steady,poor,14,319.2296258277562
4513,18K feet,rain,steady,high,limited,9,41.67607818811054
4514,18K feet,dry,low,gusty,clear,11,31.571354303317893
4515,30K feet,dry,high,gusty,poor,13,6.790507752196114
4516,Lolo Peak,fog,high,high,clear,15,147.41038755817937
4517,30K feet,mist,steady,high,poor,7,37.26263149723512
4518,Lolo Peak,rain,steady,steady,poor,14,106.72593785146758
4519,30K feet,rain,low,high,limited,14,5.570008917729647
4520,Lolo Peak,mist,low,high,clear,8,113.66439274230906
4521,30K feet,mist,low,gusty,limited,6,26.397466085531327
4522,Lolo Peak,mist,low,high,poor,7,121.32286808629804
4523,18K feet,dry,steady,steady,clear,18,35.275681088478535
4524,sea level,rain,high,high,limited,8,313.24315309829535
4525,Lolo Peak,dry,low,high,limited,12,95.73814204097006
4526,Missoula,dry,high,high,limited,9,189.7478884851268
4527,18K feet,mist,high,high,clear,14,52.86764276527314
4528,Missoula,fog,high,steady,poor,12,244.416495185923
4529,30K feet,rain,steady,high,limited,10,14.10217392795689
4530,30K feet,rain,high,high,poor,15,11.954377571799803
4531,Missoula,rain,low,gusty,clear,16,188.46522918601264
4532,sea level,fog,low,high,limited,10,360.7762248489185
4533,Missoula,fog,low,high,limited,18,243.2080874794182
4534,30K feet,dry,high,high,limited,10,6.239918583269159
4535,Missoula,rain,high,high,clear,12,187.18669358470393
4536,18K feet,rain,high,high,poor,10,50.20608521321225
4537,Lolo Peak,fog,low,steady,clear,16,144.38308873343507
4538,sea level,mist,steady,calm,clear,13,326.85873879927567
4539,sea level,dry,high,gusty,poor,7,316.17979491929657
4540,Lolo Peak,mist,low,gusty,limited,16,118.58847800781474
4541,sea level,dry,low,gusty,limited,7,303.96580823547094
4542,Missoula,mist,low,gusty,limited,12,206.27604096628542
4543,Missoula,fog,low,high,clear,14,235.0367486678045
4544,Lolo Peak,mist,low,high,limited,11,115.12143026589334
4545,18K feet,fog,steady,gusty,clear,12,84.68000964874525
4546,Missoula,mist,high,gusty,limited,11,209.80470163804574
4547,Lolo Peak,mist,steady,gusty,clear,13,114.28536154610799
4548,sea level,fog,high,steady,poor,11,361.0198933478566
4549,30K feet,dry,low,calm,limited,13,9.005720313659438
4550,18K feet,dry,low,gusty,clear,6,38.734745622690824
4551,sea level,dry,low,gusty,clear,9,306.78880435655884
4552,18K feet,mist,steady,gusty,clear,11,50.447038291803516
4553,sea level,rain,steady,gusty,poor,13,318.85126507619
4554,Missoula,dry,steady,steady,clear,18,184.46254109933147
4555,sea level,rain,steady,steady,limited,18,311.0948942119026
4556,sea level,mist,high,steady,clear,7,325.8524189763428
4557,18K feet,rain,high,high,poor,16,49.50987300670538
4558,30K feet,fog,steady,high,limited,17,58.328541420229655
4559,18K feet,rain,steady,gusty,limited,18,47.76700581432779
4560,Missoula,dry,steady,high,poor,17,196.02725353780227
4561,Missoula,fog,high,gusty,clear,13,238.30029489763615
4562,sea level,dry,low,high,poor,13,314.9824199699048
4563,18K feet,mist,steady,steady,poor,11,67.2738215967566
4564,sea level,rain,steady,high,limited,20,313.45478961452915
4565,Missoula,mist,low,gusty,clear,20,206.2111156750321
4566,sea level,mist,low,high,clear,12,314.5551692759421
4567,Lolo Peak,dry,steady,steady,poor,17,104.3202505940177
4568,30K feet,dry,steady,high,poor,13,9.111838747378634
4569,sea level,rain,steady,high,clear,15,311.810448795053
4570,30K feet,dry,high,gusty,poor,5,9.069100395178761
4571,Lolo Peak,rain,high,high,poor,12,108.29385497778189
4572,Missoula,rain,low,steady,poor,4,201.58819223476243
4573,18K feet,dry,low,high,limited,8,33.47786515514114
4574,30K feet,mist,low,gusty,poor,18,35.57674044979254
4575,30K feet,dry,steady,gusty,clear,16,6.276738205136305
4576,18K feet,rain,low,high,clear,14,38.65514995338372
4577,30K feet,fog,steady,gusty,limited,18,56.05129119793284
4578,18K feet,rain,low,steady,limited,10,38.98110583465394
4579,18K feet,fog,steady,steady,limited,13,86.08639983853699
4580,18K feet,dry,low,gusty,limited,17,33.47831865419553
4581,30K feet,fog,high,steady,poor,10,69.96489114969904
4582,sea level,dry,high,steady,limited,8,312.9370108256733
4583,18K feet,dry,steady,gusty,limited,13,39.18716017162755
4584,18K feet,mist,steady,steady,poor,18,67.48046582373574
4585,30K feet,fog,low,steady,limited,12,61.71480118375709
4586,18K feet,dry,high,steady,clear,5,41.875374624338015
4587,Missoula,mist,steady,steady,poor,10,214.93331928609493
4588,30K feet,fog,high,high,clear,7,60.31109889502477
4589,sea level,mist,steady,steady,limited,4,323.6103325666523
4590,sea level,rain,steady,steady,limited,8,312.3232880784151
4591,30K feet,fog,high,high,poor,8,60.94522606446081
4592,18K feet,rain,high,high,poor,11,53.883185395468516
4593,30K feet,fog,steady,high,clear,13,58.08784487956192
4594,Missoula,fog,low,high,limited,11,241.796705856875
4595,Lolo Peak,dry,steady,steady,limited,6,95.28037339655592
4596,18K feet,dry,steady,gusty,clear,9,35.69102559302791
4597,30K feet,rain,steady,steady,clear,14,9.793442328539815
4598,Missoula,fog,low,steady,poor,14,242.64790880907108
4599,18K feet,dry,steady,gusty,clear,19,31.074200519217513
4600,sea level,rain,steady,gusty,clear,12,306.7263057912059
4601,18K feet,fog,steady,high,poor,8,92.19864742597167
4602,sea level,mist,high,high,clear,14,320.8508269722306
4603,Missoula,dry,steady,gusty,limited,18,184.1445086708429
4604,30K feet,mist,low,gusty,clear,18,24.765201622915388
4605,18K feet,rain,high,high,limited,15,42.384852547523984
4606,Lolo Peak,dry,high,gusty,limited,6,96.17476741090752
4607,18K feet,fog,high,high,clear,10,82.82443239519672
4608,sea level,rain,steady,gusty,limited,7,312.466770303817
4609,Lolo Peak,fog,high,steady,limited,9,150.5933549938423
4610,18K feet,rain,high,steady,clear,8,43.25955867665921
4611,Lolo Peak,rain,low,high,limited,12,101.20435882105932
4612,sea level,fog,low,high,clear,10,353.7992880824843
4613,Lolo Peak,fog,high,gusty,poor,19,150.8026176717942
4614,sea level,rain,high,calm,clear,16,311.61914522800396
4615,sea level,dry,steady,gusty,clear,12,306.7772113587429
4616,18K feet,mist,high,steady,poor,16,67.1613964214312
4617,Lolo Peak,rain,low,gusty,poor,9,108.26902921010719
4618,Lolo Peak,fog,high,gusty,limited,18,147.14692098573957
4619,sea level,rain,steady,high,poor,11,320.1627585353407
4620,18K feet,fog,low,gusty,clear,16,91.93830384558137
4621,sea level,rain,low,calm,clear,13,311.0483238501997
4622,Lolo Peak,fog,high,steady,limited,8,149.62565443180497
4623,Lolo Peak,fog,steady,steady,clear,16,147.51155894188386
4624,30K feet,dry,steady,calm,poor,12,18.080493820608066
4625,Missoula,rain,high,high,clear,6,194.574074805557
4626,Missoula,rain,high,gusty,limited,6,195.8972124505235
4627,Missoula,mist,low,calm,clear,11,205.91234943751283
4628,sea level,mist,low,gusty,limited,11,327.69668247984777
4629,18K feet,dry,low,steady,clear,22,30.116305624085648
4630,Lolo Peak,dry,low,steady,limited,5,100.99092049589035
4631,30K feet,dry,steady,steady,limited,10,5.496734592529373
4632,30K feet,mist,steady,gusty,clear,13,27.703888678089598
4633,Lolo Peak,rain,low,high,limited,11,98.27639340096437
4634,sea level,rain,steady,high,clear,12,313.3984717405871
4635,18K feet,fog,high,high,clear,15,89.00297513042551
4636,30K feet,rain,steady,gusty,limited,8,11.551692444669815
4637,18K feet,dry,steady,steady,clear,20,37.712400998244284
4638,sea level,mist,high,high,clear,8,318.7763613252028
4639,Missoula,fog,high,gusty,limited,11,237.40335900265174
4640,30K feet,mist,steady,gusty,clear,10,23.480905582848994
4641,18K feet,mist,high,gusty,clear,12,54.37924415727442
4642,Lolo Peak,rain,high,steady,limited,9,98.79299957520409
4643,sea level,fog,high,gusty,clear,13,352.83236475986075
4644,sea level,rain,steady,high,clear,8,309.14772132990834
4645,sea level,dry,low,steady,clear,7,308.98197358513136
4646,18K feet,dry,steady,gusty,poor,8,42.80717144304565
4647,sea level,dry,low,gusty,limited,12,306.3168466266148
4648,30K feet,rain,low,high,poor,10,19.806898814740318
4649,30K feet,dry,low,high,clear,16,6.11104468037166
4650,sea level,rain,high,high,poor,10,322.1740052089931
4651,18K feet,rain,steady,gusty,limited,19,41.91813519615368
4652,Lolo Peak,mist,low,steady,clear,6,115.25247055627192
4653,18K feet,fog,steady,gusty,poor,15,91.89428211042787
4654,Lolo Peak,fog,low,gusty,clear,12,145.31565903064748
4655,30K feet,mist,high,gusty,limited,9,26.756411251416495
4656,18K feet,dry,low,high,limited,9,39.48416450595826
4657,30K feet,mist,steady,gusty,limited,12,25.840670785269555
4658,18K feet,rain,steady,steady,limited,13,40.25751700350832
4659,30K feet,rain,high,gusty,poor,13,25.514287332627607
4660,30K feet,rain,high,high,clear,9,10.87579136208782
4661,sea level,mist,low,gusty,poor,13,331.32599639955345
4662,Lolo Peak,fog,high,high,limited,18,146.57945865672968
4663,sea level,rain,high,high,clear,13,313.01981160621966
4664,Missoula,fog,low,high,poor,8,245.30422110129302
4665,Lolo Peak,mist,high,high,clear,14,115.47367842041002
4666,18K feet,fog,steady,gusty,limited,11,86.52715570048518
4667,Missoula,rain,high,gusty,limited,14,192.38207921787597
4668,sea level,rain,steady,gusty,poor,14,316.3966444617925
4669,sea level,fog,low,gusty,clear,9,360.12415082031947
4670,30K feet,fog,steady,gusty,limited,10,55.84747686164362
4671,30K feet,fog,low,steady,clear,6,55.556940294122754
4672,Missoula,dry,steady,calm,poor,17,197.49677303910573
4673,Missoula,rain,steady,high,clear,13,184.80015444303203
4674,30K feet,dry,steady,high,poor,18,17.68303313635385
4675,30K feet,fog,high,gusty,poor,14,66.75629541496619
4676,sea level,fog,high,steady,poor,20,368.80052724963866
4677,Missoula,mist,low,high,clear,10,203.15370195978394
4678,sea level,rain,high,steady,poor,21,319.9027246430631
4679,Missoula,fog,steady,high,clear,12,238.58644914469252
4680,Lolo Peak,dry,high,high,clear,10,96.71689547425042
4681,30K feet,dry,low,steady,limited,14,4.866851776130271
4682,30K feet,fog,steady,gusty,poor,10,64.24431039078709
4683,sea level,rain,low,steady,limited,15,314.71209909360437
4684,30K feet,rain,steady,calm,poor,6,23.14287163860568
4685,30K feet,mist,low,gusty,clear,9,30.69742899426
4686,18K feet,dry,low,steady,limited,21,37.617713609205104
4687,Lolo Peak,mist,steady,steady,poor,10,123.06238440880861
4688,30K feet,fog,high,high,clear,8,56.4924579016064
4689,Missoula,mist,steady,gusty,limited,8,208.85303719403313
4690,18K feet,mist,steady,steady,poor,12,65.02339549693646
4691,sea level,mist,steady,high,clear,17,324.07908856453435
4692,18K feet,mist,high,gusty,limited,9,60.37114829097524
4693,sea level,mist,steady,high,poor,12,335.84787042787667
4694,Lolo Peak,dry,high,steady,poor,17,97.14174073402651
4695,18K feet,rain,high,gusty,clear,9,39.33416834411966
4696,Lolo Peak,mist,steady,gusty,clear,6,118.31855433479167
4697,30K feet,mist,low,steady,clear,14,24.754215090811865
4698,Lolo Peak,rain,low,steady,poor,10,117.07482534367409
4699,Missoula,rain,steady,high,clear,12,191.31717865237545
4700,18K feet,dry,high,high,clear,12,34.59278506655998
4701,Missoula,dry,low,high,limited,10,187.01086217070414
4702,18K feet,fog,steady,steady,limited,10,89.29242233053634
4703,18K feet,mist,low,gusty,poor,13,64.21531848590543
4704,sea level,rain,high,high,limited,11,308.59658613107445
4705,30K feet,fog,steady,high,clear,14,58.160619752080635
4706,Lolo Peak,fog,high,steady,limited,12,148.64558260781106
4707,30K feet,mist,steady,gusty,clear,13,24.43791823435527
4708,Missoula,rain,low,gusty,limited,18,192.81567924678436
4709,Missoula,rain,high,gusty,clear,11,189.75598052194573
4710,18K feet,mist,low,high,clear,16,58.006834533271046
4711,Missoula,rain,high,high,limited,4,191.9252255943739
4712,Lolo Peak,rain,high,gusty,clear,8,104.83606965444517
4713,Missoula,fog,high,steady,limited,14,237.6421864936346
4714,Lolo Peak,fog,steady,steady,poor,13,151.0360813130992
4715,Lolo Peak,rain,steady,calm,limited,14,98.94310006938653
4716,30K feet,fog,high,high,limited,5,54.40926056389726
4717,sea level,mist,steady,gusty,clear,16,324.8248037346489
4718,Missoula,fog,steady,high,clear,13,233.074422313261
4719,Missoula,rain,high,steady,poor,5,202.93423058946448
4720,Lolo Peak,mist,high,gusty,poor,7,125.1796315801798
4721,Missoula,dry,steady,steady,poor,13,196.53705126524645
4722,18K feet,dry,high,gusty,clear,11,32.523194503121246
4723,Missoula,fog,high,gusty,limited,9,237.5436814045719
4724,18K feet,mist,low,gusty,limited,15,57.1373765726549
4725,Lolo Peak,fog,high,high,poor,17,155.54130720961834
4726,sea level,dry,steady,steady,clear,24,301.4011032915318
4727,sea level,dry,high,gusty,clear,16,308.43998808052544
4728,18K feet,fog,steady,steady,clear,10,88.4335734090945
4729,18K feet,rain,low,high,limited,13,40.18508829338875
4730,Missoula,fog,low,steady,limited,14,240.13405934720888
4731,18K feet,fog,high,steady,poor,6,95.46331116405042
4732,18K feet,rain,steady,steady,limited,13,36.5892124313851
4733,30K feet,dry,steady,steady,clear,10,5.790065212258886
4734,30K feet,dry,low,steady,limited,7,2.9198756146151776
4735,18K feet,mist,high,gusty,clear,18,50.062709815291555
4736,Lolo Peak,fog,low,steady,poor,7,155.86752856748026
4737,18K feet,dry,steady,high,limited,8,32.17144372472588
4738,Lolo Peak,rain,steady,high,poor,7,105.30464610973571
4739,Lolo Peak,mist,steady,steady,poor,12,121.13406939900358
4740,sea level,dry,low,steady,limited,9,305.2700559407859
4741,Lolo Peak,rain,high,high,clear,12,103.85146359570103
4742,sea level,mist,low,gusty,poor,10,334.8151956086579
4743,sea level,fog,high,high,limited,17,351.83302436286925
4744,sea level,fog,low,steady,clear,15,353.1616983313639
4745,Lolo Peak,fog,high,gusty,poor,11,152.42540020342403
4746,Missoula,rain,low,high,limited,5,192.77437244962968
4747,Missoula,mist,low,gusty,limited,17,210.82045882890566
4748,sea level,fog,high,high,limited,14,364.53720103348235
4749,sea level,dry,steady,high,poor,11,314.34566406545156
4750,30K feet,rain,low,gusty,limited,10,9.60729837721506
4751,18K feet,dry,low,high,limited,13,38.10944738774548
4752,Lolo Peak,rain,high,calm,clear,14,99.07349639023718
4753,Lolo Peak,dry,low,high,poor,13,103.84611820388159
4754,18K feet,dry,low,steady,limited,16,38.71234968736328
4755,sea level,rain,steady,calm,clear,11,314.6526709999863
4756,Missoula,dry,high,steady,poor,10,196.3909555252035
4757,sea level,rain,steady,high,limited,9,317.5410199428575
4758,Missoula,rain,steady,high,limited,11,190.54742003727785
4759,Lolo Peak,fog,low,gusty,poor,16,146.2248251089876
4760,18K feet,fog,low,high,poor,12,94.44044830990161
4761,Missoula,rain,low,gusty,clear,11,186.62251172206422
4762,Lolo Peak,dry,high,high,poor,15,97.99120855685118
4763,Lolo Peak,rain,low,gusty,poor,10,109.55820237743262
4764,Lolo Peak,dry,high,high,clear,19,96.90686459862802
4765,30K feet,mist,high,high,clear,13,27.730955300126773
4766,Missoula,dry,high,high,poor,11,198.30862414778017
4767,Missoula,mist,steady,calm,clear,14,209.85009878350888
4768,30K feet,mist,high,gusty,poor,16,34.635725798739415
4769,30K feet,dry,high,gusty,clear,10,10.447123511949746
4770,30K feet,rain,high,high,clear,7,11.488795568527589
4771,30K feet,mist,steady,steady,limited,8,32.26497075565536
4772,Missoula,dry,high,calm,limited,16,182.7867339120159
4773,Missoula,mist,low,high,clear,6,203.4650872691954
4774,sea level,fog,high,high,clear,17,353.3725178801226
4775,18K feet,fog,low,gusty,limited,13,88.12757205691463
4776,Lolo Peak,mist,high,steady,limited,13,121.29033384491228
4777,18K feet,rain,high,high,poor,10,49.391543271321225
4778,Missoula,rain,low,gusty,poor,16,200.37148298397443
4779,sea level,dry,high,steady,poor,14,314.5555779151577
4780,18K feet,fog,low,high,clear,13,82.82641413532681
4781,Missoula,rain,high,gusty,poor,2,201.85372748445963
4782,18K feet,mist,high,gusty,limited,11,59.50927590850783
4783,sea level,dry,steady,gusty,poor,11,312.9365362493819
4784,Missoula,mist,steady,gusty,limited,16,205.55383412222056
4785,18K feet,mist,steady,high,limited,12,59.24178218661789
4786,30K feet,rain,high,high,poor,9,20.320717823750417
4787,18K feet,dry,high,gusty,limited,14,37.538536759324685
4788,18K feet,mist,high,high,clear,14,55.27547128686139
4789,Lolo Peak,fog,steady,steady,limited,11,147.67096149508956
4790,sea level,mist,high,gusty,poor,13,329.31589047110725
4791,Missoula,fog,high,calm,clear,8,232.50048474520588
4792,18K feet,fog,high,calm,limited,13,88.34887896197351
4793,Lolo Peak,dry,high,gusty,poor,18,108.43775890219486
4794,Missoula,rain,low,steady,clear,7,189.5786122400884
4795,sea level,rain,high,high,limited,9,310.87977499537544
4796,30K feet,mist,low,gusty,clear,15,29.218388475748814
4797,Missoula,rain,low,high,limited,9,190.47797056958228
4798,Lolo Peak,fog,steady,calm,limited,16,150.3088745387514
4799,18K feet,dry,steady,steady,limited,22,36.33556927429672
4800,sea level,dry,steady,steady,limited,14,306.94553730534193
4801,sea level,fog,high,gusty,limited,15,359.62604346309905
4802,Lolo Peak,rain,steady,steady,clear,9,101.71281651149421
4803,30K feet,rain,low,gusty,clear,11,9.678587723793662
4804,sea level,rain,steady,high,limited,14,316.21003576284494
4805,30K feet,fog,high,high,clear,4,55.87653926885939
4806,Lolo Peak,fog,high,steady,clear,15,144.96449068995182
4807,30K feet,rain,low,high,poor,10,24.15727269364961
4808,18K feet,rain,high,high,poor,9,47.534943503926876
4809,30K feet,rain,low,high,clear,7,8.469953855509736
4810,30K feet,dry,high,steady,clear,10,7.987390069029232
4811,Lolo Peak,fog,high,steady,poor,21,155.5392076382766
4812,18K feet,rain,steady,gusty,limited,15,47.51915743482992
4813,Lolo Peak,rain,low,high,limited,6,104.12992950392628
4814,30K feet,mist,steady,high,poor,16,31.87975949591322
4815,Missoula,fog,high,high,limited,11,239.60904878972886
4816,Lolo Peak,fog,low,gusty,poor,10,153.5136466807687
4817,Lolo Peak,mist,low,gusty,poor,12,123.54986497068897
4818,Lolo Peak,rain,high,gusty,limited,16,107.14514394216533
4819,18K feet,dry,high,gusty,clear,11,39.259712263225254
4820,18K feet,mist,high,calm,clear,7,54.22329157518343
4821,Missoula,fog,steady,high,poor,13,247.28837727728262
4822,Lolo Peak,fog,high,steady,poor,10,153.21568843532887
4823,Lolo Peak,rain,high,gusty,poor,8,106.79545841996178
4824,30K feet,fog,low,steady,poor,13,63.16214229904033
4825,sea level,rain,steady,high,clear,12,309.21578997168956
4826,Lolo Peak,mist,high,gusty,clear,10,115.5834753200785
4827,30K feet,fog,steady,high,poor,22,65.77518223642198
4828,18K feet,fog,high,high,clear,13,87.26492493740652
4829,18K feet,mist,steady,gusty,poor,10,65.15765503300933
4830,sea level,mist,steady,steady,clear,15,326.88031976415306
4831,18K feet,mist,low,steady,poor,5,67.1640764713778
4832,Lolo Peak,dry,high,gusty,poor,5,104.2786970468226
4833,Lolo Peak,mist,steady,steady,limited,13,119.4675347191352
4834,Lolo Peak,rain,steady,gusty,limited,14,107.37749312170976
4835,30K feet,dry,high,gusty,poor,14,13.160840467872127
4836,Missoula,mist,steady,gusty,limited,16,205.39383327905807
4837,sea level,rain,low,high,limited,14,316.77732252171126
4838,18K feet,dry,high,high,clear,5,33.77118713788246
4839,18K feet,rain,steady,high,limited,11,45.58362181787081
4840,Lolo Peak,mist,high,high,poor,14,122.81071870578273
4841,Missoula,fog,steady,gusty,poor,12,244.4238140890663
4842,Lolo Peak,fog,steady,high,limited,14,155.95793993626614
4843,30K feet,mist,steady,steady,clear,11,27.494009931841408
4844,sea level,mist,steady,high,poor,7,337.608265743002
4845,Lolo Peak,rain,low,steady,limited,7,102.36086034636241
4846,18K feet,rain,high,gusty,clear,17,42.71992581641414
4847,sea level,dry,steady,steady,clear,6,309.7304146890219
4848,18K feet,fog,high,steady,poor,9,95.69307973065499
4849,sea level,mist,steady,high,clear,13,328.07252985878085
4850,30K feet,dry,low,steady,limited,12,7.014262152644839
4851,18K feet,mist,low,steady,limited,15,57.543360844701475
4852,Missoula,dry,high,high,poor,16,196.00463949804032
4853,Missoula,mist,high,high,clear,9,205.080396134803
4854,18K feet,rain,steady,gusty,clear,14,39.11456074807813
4855,Lolo Peak,fog,high,steady,limited,8,149.0592410858678
4856,30K feet,rain,low,steady,clear,10,10.8339875333909
4857,18K feet,dry,high,high,poor,7,41.54571295143554
4858,18K feet,dry,steady,gusty,poor,10,47.41866804893769
4859,Missoula,rain,low,gusty,clear,7,188.61113055535776
4860,sea level,dry,low,high,clear,11,307.7766656243657
4861,30K feet,dry,high,steady,limited,10,8.896232543025453
4862,Lolo Peak,fog,low,gusty,limited,12,148.1912340995618
4863,Missoula,mist,low,high,clear,9,207.7804287948877
4864,30K feet,rain,low,steady,limited,12,9.61468758063083
4865,Lolo Peak,fog,high,high,poor,9,152.51612059838226
4866,30K feet,mist,high,high,clear,10,22.902952450132318
4867,Missoula,fog,steady,gusty,clear,11,236.33817680364655
4868,Lolo Peak,dry,high,steady,poor,14,104.92468077755147
4869,30K feet,dry,steady,steady,limited,9,2.758493039860819
4870,18K feet,rain,high,high,limited,16,46.87471827734208
4871,Lolo Peak,dry,steady,high,poor,28,105.22906550491392
4872,Lolo Peak,mist,high,steady,clear,16,117.23453998542459
4873,30K feet,dry,low,gusty,poor,13,17.72924747354083
4874,sea level,rain,high,gusty,clear,19,311.50392751373556
4875,Lolo Peak,dry,low,steady,clear,18,95.62275924740558
4876,Missoula,fog,steady,calm,poor,9,245.29268290669108
4877,18K feet,dry,steady,gusty,clear,14,36.78877269241492
4878,18K feet,rain,steady,gusty,poor,18,47.64713054022435
4879,sea level,rain,steady,high,clear,15,309.20234141750603
4880,18K feet,fog,low,steady,poor,11,92.5449312840962
4881,18K feet,fog,high,gusty,poor,13,92.20800674917513
4882,30K feet,mist,steady,steady,poor,15,29.80052855681717
4883,Lolo Peak,mist,steady,steady,clear,6,115.95068278734071
4884,Lolo Peak,fog,low,gusty,poor,11,158.04278059006273
4885,Missoula,fog,steady,high,clear,17,236.98145462843007
4886,18K feet,mist,steady,gusty,limited,9,58.527381785386346
4887,sea level,dry,steady,gusty,limited,11,305.2082516964599
4888,30K feet,rain,high,high,clear,9,9.302515861231482
4889,30K feet,dry,steady,gusty,poor,7,12.842538628867553
4890,Lolo Peak,fog,steady,steady,clear,8,140.62079782024261
4891,Lolo Peak,dry,low,gusty,limited,7,95.08701876352688
4892,30K feet,dry,low,high,clear,12,6.342979369779197
4893,Lolo Peak,mist,steady,high,poor,17,122.91336885011681
4894,Missoula,dry,low,gusty,poor,11,191.4250047899823
4895,30K feet,dry,high,steady,poor,15,19.254128163984568
4896,18K feet,fog,steady,gusty,limited,15,87.60513870146413
4897,sea level,rain,high,high,clear,17,309.6028499821164
4898,sea level,rain,steady,gusty,limited,5,312.41769637432157
4899,sea level,fog,high,steady,poor,8,362.6382591883232
4900,sea level,mist,high,gusty,clear,10,328.1247144339288
4901,30K feet,fog,steady,gusty,limited,20,56.24738103288361
4902,Lolo Peak,rain,low,steady,limited,20,104.05972649865032
4903,Lolo Peak,rain,low,gusty,limited,12,104.94350270373808
4904,sea level,dry,high,gusty,limited,11,309.64516451747363
4905,30K feet,dry,high,high,clear,11,4.089358179387084
4906,30K feet,dry,high,steady,poor,10,14.819741210923006
4907,sea level,rain,high,steady,clear,14,311.0328647647699
4908,sea level,rain,steady,steady,limited,13,305.0382673732533
4909,18K feet,mist,steady,steady,limited,9,57.66022019252125
4910,sea level,fog,steady,gusty,poor,17,366.66726197528516
4911,sea level,fog,low,high,clear,17,351.829082591062
4912,18K feet,dry,low,steady,clear,16,40.74732967413125
4913,Missoula,rain,high,high,poor,12,196.76319269960246
4914,18K feet,dry,high,gusty,clear,13,38.07790978189843
4915,Lolo Peak,dry,steady,steady,limited,16,97.72885749553578
4916,Lolo Peak,rain,low,gusty,poor,12,107.56466213020441
4917,Missoula,rain,low,calm,clear,15,194.11917945181023
4918,18K feet,rain,steady,high,poor,10,51.67235285079873
4919,Missoula,dry,high,high,limited,18,191.13563568017642
4920,Missoula,fog,steady,gusty,limited,8,235.9981530323762
4921,Missoula,dry,steady,high,poor,17,195.90087042828375
4922,sea level,fog,steady,steady,poor,13,366.1617513294463
4923,Lolo Peak,mist,steady,high,poor,13,124.67296799459685
4924,Missoula,dry,steady,steady,poor,15,188.97876140754053
4925,18K feet,fog,steady,steady,clear,7,82.49069832775737
4926,Missoula,mist,steady,steady,limited,7,212.5114342299997
4927,Lolo Peak,mist,high,gusty,limited,11,119.18095187160405
4928,Missoula,rain,high,steady,limited,13,191.430713685779
4929,Lolo Peak,mist,low,high,poor,22,126.25963482533506
4930,Lolo Peak,rain,high,high,limited,13,101.61848810992066
4931,30K feet,rain,low,steady,clear,14,11.877509062453964
4932,18K feet,mist,steady,high,poor,19,66.70166106695527
4933,30K feet,dry,high,high,poor,9,12.024063187574233
4934,30K feet,rain,high,high,clear,16,4.382476970085389
4935,sea level,rain,steady,high,clear,11,310.07560616607725
4936,Missoula,dry,high,gusty,poor,14,196.05262143308346
4937,18K feet,dry,high,gusty,clear,7,31.54208253243903
4938,Missoula,dry,high,gusty,clear,15,183.34818997357627
4939,Lolo Peak,fog,low,steady,clear,14,147.03186133438683
4940,18K feet,fog,high,high,limited,14,82.70362961877959
4941,30K feet,fog,low,gusty,limited,14,57.80611632783554
4942,18K feet,dry,low,gusty,clear,13,32.64367810955507
4943,sea level,dry,steady,gusty,poor,9,313.6070954557253
4944,30K feet,mist,steady,high,clear,10,22.465425184650027
4945,sea level,rain,low,steady,clear,20,313.2157398208307
4946,sea level,mist,high,gusty,limited,16,327.2629261070262
4947,Missoula,mist,high,steady,limited,15,207.47317790679202
4948,Lolo Peak,mist,low,gusty,clear,9,116.71942443350119
4949,Missoula,fog,low,high,clear,11,240.31669328684907
4950,Missoula,dry,high,calm,limited,11,191.4208896747357
4951,sea level,fog,low,high,limited,15,355.3148201427826
4952,sea level,mist,high,steady,limited,12,327.5823500496508
4953,Lolo Peak,mist,low,steady,clear,19,118.79651656099821
4954,sea level,dry,steady,gusty,poor,12,315.75160189966795
4955,18K feet,rain,low,steady,limited,15,44.70228627113559
4956,Missoula,dry,low,steady,clear,16,185.11985132217376
